#,Accessor,Description,Name,Parameters,Type
,protected,Can be used in a foreach loop for easy iteration over all selected assets by type T,GetSelectedAssets(),,"IEnumerable<T>, Method"
,protected,Returns the inspected component of type T at the specified index in the current selection,GetSelectedAsset(),int index = 0,Method
