#,Accessor,Description,Name,Parameters,Type
,public,"Creates a new property field instance for the custom inspector/window

You can set the fieldWidth to 0f to make the field auto-expand.",SnekInputField(),"SerializedProperty serializedProperty, 
string label, 
float fieldWidth = SnekGUILayout.DefaultFieldWidth, 
float fieldHeight = SnekGUILayout.DefaultFieldHeight, 
GUIStyle labelStyle = null, 
GUIStyle fieldStyle = null, 
params GUILayoutOption[] options","Constructor, SnekInputField"
,public,Draws the property field on the GUI with the label at the top,DrawVertical(),,"Method, void"
,public,Draws the property field on the GUI with the label on the left,DrawHorizontal(),,"Method, void"
