#,Accessor,Description,Name,Parameters,Type
,public,Returns the Rect of the entire scope,GetScopeRect(),,"Method, bool"
,public,Draws GUI elements inside of it from top to bottom and treats them like a part of the provided property,SnekPropertyVerticalScope(),"SerializedProperty property,
params SnekGUIScopeOption[] options",Constructor
