#,Accessor,Description,Name,Parameters,Type
,public,Creates a new property field instance for the custom inspector/window,SnekEnumField(),"SerializedProperty serializedProperty, 
string label, 
string[] valueNames, 
GUIStyle labelStyle = null, 
params GUILayoutOption[] options","Constructor, SnekEnumField"
,public,Draws the property field on the GUI with the label on the left,DrawHorizontal(),,"Method, void"
,public,Draws the property field on the GUI with the label at the top,DrawVertical(),,"Method, void"
